id,hex,name
H19,#F2EEE5,象牙米
H20,#96A09F,苔灰色
H21,#F8FBE6,黄白色
H22,#CACADA,淡紫灰
H23,#9B9C94,暖灰色
M1,#BBC6B6,雾霾绿
M2,#909994,青灰绿
M3,#697E80,墨蓝灰
M4,#E0D4BC,燕麦奶
M5,#D0CBAE,亚麻色
M6,#B0AA86,橄榄灰
M7,#B0A796,沙石色
M8,#AE8082,玫瑰灰
M9,#A88764,榛子色
M10,#C6B2BB,藕粉灰
M11,#9D7693,紫藤灰
M12,#644B51,酱紫色
M13,#C79266,焦糖奶
M14,#C37463,赤陶色
M15,#747D7A,水泥灰
